municipality,employees,estatutarios,temporarios,tx_coleta_lixo,tx_limpeza,mort_less1yr,mort_total
110001,917,772,1,1,0,7,145
110002,2560,2136,28,1,0,18,511
110003,282,219,3,1,1,3,28
110004,2075,1615,124,1,0,25,440
110005,656,539,2,0,0,1,80
110006,572,452,20,1,1,2,88
110007,413,359,10,1,1,0,42
110008,592,528,5,0,0,7,66
110009,879,602,78,1,1,8,149
110010,1310,994,0,1,1,16,208
110011,1624,1073,0,1,1,12,261
110012,3193,2252,231,0,0,33,603
110013,1214,995,12,1,1,11,149
110014,705,628,0,1,1,2,89
110015,1365,1100,17,1,0,7,191
110018,1141,0,0,1,0,10,187
110020,13030,12151,154,1,1,121,2271
110025,705,510,5,1,0,5,126
110026,283,202,7,1,1,0,11
110028,1545,1381,0,0,0,23,281
110029,388,318,0,1,1,0,46
110030,2868,1994,179,1,0,19,437
110032,883,757,0,0,0,4,104
110033,1039,833,7,1,1,4,107
110034,652,598,0,0,1,4,84
110037,630,528,0,0,0,1,53
110040,651,473,8,1,1,5,78
110045,1190,817,17,1,0,9,139
110050,413,342,0,1,1,0,41
110060,314,267,0,1,0,0,28
110070,574,475,9,1,1,2,43
110080,834,587,0,0,0,8,111
110090,300,195,4,0,0,1,17
110092,578,417,2,0,0,5,42
110094,574,382,0,1,0,4,50
110100,499,387,17,1,0,1,35
110110,457,356,0,1,0,0,35
110120,401,343,0,1,1,1,48
110130,437,405,12,0,0,2,57
110140,638,406,8,1,0,4,69
110143,315,266,0,1,1,2,30
110145,283,254,3,0,0,0,16
110146,246,168,0,1,0,0,10
110147,259,246,0,0,0,0,22
110148,321,222,15,1,1,1,21
110149,659,457,2,0,0,1,72
110150,590,515,33,0,0,4,44
110155,274,208,10,0,0,1,19
110160,578,422,5,1,0,2,38
110170,391,364,0,1,0,4,55
110175,341,312,0,0,1,3,33
110180,495,387,25,1,0,1,21
120001,431,0,54,0,0,2,56
120005,309,0,125,1,1,7,31
120010,873,0,290,1,1,14,115
120013,NA,0,NA,1,1,2,44
120017,NA,0,NA,1,1,2,53
120020,3191,1605,1436,1,1,20,373
120025,NA,0,NA,1,1,2,65
120030,945,488,160,1,0,26,150
120032,629,0,119,1,1,4,14
120033,672,578,72,0,0,9,75
120034,396,0,41,1,1,8,39
120035,958,689,181,1,0,7,29
120038,640,0,39,0,0,8,73
120039,651,424,168,1,1,4,22
120040,6309,3860,1807,1,1,101,1731
120042,723,689,12,1,0,6,33
120043,NA,0,NA,1,1,11,26
120045,853,614,162,1,1,6,110
120050,1091,0,292,1,1,8,170
120060,1122,693,260,1,1,35,169
120070,NA,0,NA,1,1,4,68
120080,NA,303,105,1,0,5,67
130002,805,432,0,0,0,5,36
130006,506,259,214,0,0,9,36
130008,484,261,155,0,0,2,26
130010,461,330,0,0,0,3,60
130014,650,423,128,0,0,4,48
130020,1000,109,852,0,0,16,52
130030,2031,876,1096,0,0,9,146
130040,818,566,231,0,0,30,84
130050,1799,491,1246,1,1,9,101
130060,1992,773,1064,0,0,35,141
130063,1246,636,222,0,0,3,45
130068,933,391,348,1,1,5,48
130070,1431,834,326,0,0,11,133
130080,1983,575,1374,1,0,7,108
130083,983,668,0,0,0,3,20
130090,937,394,401,0,0,5,38
130100,1030,692,241,0,0,8,97
130110,1132,753,133,0,0,9,96
130115,942,554,266,1,0,3,44
130120,5249,2784,0,1,1,22,311
130130,1077,532,294,0,0,6,69
130140,1899,1161,566,0,0,25,150
130150,928,492,245,0,0,10,64
130160,1894,1053,756,0,0,12,71
130165,791,472,190,0,0,1,50
130170,1495,759,573,0,0,10,176
130180,1120,283,729,0,1,13,55
130185,2639,1791,583,1,1,11,210
130190,4064,2296,1526,1,1,28,362
130195,832,307,428,0,0,3,29
130200,513,183,272,0,0,1,29
130210,849,463,205,0,0,2,8
130220,838,280,509,1,1,3,21
130230,567,435,4,0,0,15,76
130240,1401,591,682,0,0,13,154
130250,2324,1018,947,0,1,32,437
130255,1018,533,108,0,1,4,50
130260,32956,21136,8927,0,0,558,10451
130270,1438,868,0,0,0,16,162
130280,1637,193,16,0,0,7,28
130290,2676,1160,1240,1,1,18,219
130300,848,455,263,0,0,9,61
130310,1018,330,596,0,0,8,106
130320,856,347,386,0,0,5,48
130330,980,466,417,0,0,8,83
130340,3495,1034,2264,0,0,40,447
130350,582,500,0,0,0,8,40
130353,2489,1312,954,1,1,6,98
130356,962,620,224,0,0,4,89
130360,742,281,432,0,0,3,43
130370,1211,661,478,0,0,14,51
130380,1726,560,1066,0,0,39,248
130390,1275,630,572,0,0,23,102
130395,271,117,12,0,0,0,25
130400,413,256,62,0,0,2,22
130406,1690,1350,0,0,0,31,200
130410,1313,1055,224,0,0,10,60
130420,3681,1049,2492,0,0,29,236
130423,1222,601,572,0,0,6,37
130426,1183,279,833,0,0,4,20
130430,986,470,436,0,0,6,51
130440,617,417,144,1,1,4,63
140002,570,62,454,0,0,10,58
140005,795,544,0,0,0,25,102
140010,8941,6203,856,1,0,78,1351
140015,500,323,83,1,1,8,45
140017,707,447,199,0,1,9,68
140020,1046,706,254,1,0,17,95
140023,466,297,106,1,0,4,31
140028,449,110,229,0,0,2,35
140030,642,246,332,1,1,9,54
140040,408,202,144,0,0,4,33
140045,450,199,225,0,1,6,37
140047,1350,758,505,1,0,1,104
140050,489,301,69,0,0,5,26
140060,352,174,140,0,0,1,22
140070,172,25,111,0,0,12,30
150010,5210,3632,1409,0,0,39,623
150013,402,267,87,0,0,3,41
150020,2260,1984,203,1,1,9,214
150030,2144,1403,0,1,1,16,99
150034,706,305,387,0,0,1,55
150040,2329,1502,512,0,0,19,227
150050,2069,1645,297,0,0,16,114
150060,3974,1417,2418,1,0,49,707
150070,1569,1457,0,0,1,5,51
150080,11255,2682,5176,0,0,118,2716
150085,1001,492,471,0,0,9,102
150090,2163,1179,833,0,0,10,205
150095,1423,515,759,0,0,6,104
150100,799,654,119,0,0,3,52
150110,1482,331,1061,0,0,8,50
150120,1908,1292,478,0,0,10,144
150125,353,147,176,0,0,2,15
150130,5303,4418,497,1,1,37,422
150140,18773,14387,1603,0,0,318,9133
150145,894,431,426,0,0,5,68
150150,1893,275,1338,1,1,16,314
150157,618,437,171,0,0,3,58
